season,club,foreigners,squad_total_val,player_mean_value
04/05,Bayern Munich,28.1,€175.30m,€6.04m
04/05,SV Werder Bremen,25.6,€98.48m,€3.40m
04/05,Bayer 04 Leverkusen,25.3,€86.93m,€2.72m
04/05,FC Schalke 04,26.1,€86.33m,€2.62m
04/05,VfB Stuttgart,26.0,€79.50m,€2.56m
04/05,Borussia Dortmund,25.0,€78.33m,€2.18m
04/05,Hertha BSC,26.7,€71.78m,€2.39m
04/05,Hamburger SV,25.4,€65.60m,€2.12m
04/05,VfL Wolfsburg,27.8,€59.30m,€2.12m
04/05,Borussia Mönchengladbach,27.7,€50.93m,€1.38m
04/05,Hannover 96,26.6,€42.98m,€1.23m
04/05,1.FC Nuremberg,26.2,€34.90m,€1.20m
04/05,1.FC Kaiserslautern,27.1,€33.75m,€1.05m
04/05,VfL Bochum,26.8,€31.40m,€952k
04/05,FC Hansa Rostock,28.0,€25.90m,€925k
04/05,Arminia Bielefeld,26.5,€24.65m,€704k
04/05,SC Freiburg,26.3,€22.43m,€701k
04/05,1.FSV Mainz 05,28.1,€16.73m,€523k
25/26,Bayern Munich,26.7,€951.65m,€38.07m
25/26,Borussia Dortmund,26.1,€500.50m,€17.88m
25/26,Bayer 04 Leverkusen,26.0,€426.75m,€16.41m
25/26,Eintracht Frankfurt,25.7,€383.90m,€13.71m
25/26,RB Leipzig,24.7,€366.25m,€12.63m
25/26,VfB Stuttgart,24.6,€339.43m,€10.61m
25/26,VfL Wolfsburg,25.8,€251.90m,€8.69m
25/26,SV Werder Bremen,24.9,€177.80m,€5.74m
25/26,TSG 1899 Hoffenheim,25.1,€172.55m,€5.23m
25/26,SC Freiburg,27.3,€162.70m,€6.03m
25/26,1.FSV Mainz 05,26.3,€157.78m,€5.26m
25/26,Borussia Mönchengladbach,25.6,€154.18m,€5.14m
25/26,FC Augsburg,25.5,€151.38m,€5.22m
25/26,1.FC Union Berlin,26.3,€124.70m,€4.45m
25/26,Hamburger SV,25.7,€106.45m,€3.55m
25/26,1.FC Köln,26.0,€106.28m,€3.66m
25/26,FC St. Pauli,25.7,€64.08m,€2.21m
25/26,1.FC Heidenheim 1846,26.6,€56.80m,€2.10m
23/24,Bayern Munich,25.2,€965.15m,€24.75m
23/24,Bayer 04 Leverkusen,24.9,€658.35m,€20.57m
23/24,RB Leipzig,25.2,€545.40m,€17.04m
23/24,Borussia Dortmund,25.6,€494.80m,€13.74m
23/24,VfB Stuttgart,24.4,€346.63m,€9.12m
23/24,Eintracht Frankfurt,24.7,€326.65m,€7.10m
23/24,VfL Wolfsburg,25.0,€206.45m,€6.26m
23/24,SC Freiburg,26.3,€180.35m,€5.30m
23/24,TSG 1899 Hoffenheim,26.1,€176.00m,€5.18m
23/24,Borussia Mönchengladbach,26.0,€165.23m,€5.01m
23/24,1.FC Union Berlin,27.5,€160.95m,€4.60m
23/24,1.FSV Mainz 05,26.5,€142.88m,€4.20m
23/24,FC Augsburg,25.6,€140.80m,€3.71m
23/24,SV Werder Bremen,26.4,€134.93m,€3.86m
23/24,1.FC Köln,26.1,€81.45m,€2.47m
23/24,1.FC Heidenheim 1846,26.8,€66.45m,€2.37m
23/24,VfL Bochum,28.3,€64.53m,€1.90m
23/24,SV Darmstadt 98,27.0,€38.70m,€1.14m
21/22,Bayern Munich,25.2,€790.33m,€20.80m
21/22,Borussia Dortmund,24.5,€558.98m,€12.70m
21/22,RB Leipzig,24.3,€498.95m,€14.68m
21/22,Bayer 04 Leverkusen,25.1,€455.05m,€13.00m
21/22,VfL Wolfsburg,25.7,€269.30m,€7.28m
21/22,Borussia Mönchengladbach,25.8,€236.80m,€7.64m
21/22,Eintracht Frankfurt,25.7,€228.75m,€6.35m
21/22,TSG 1899 Hoffenheim,25.3,€211.43m,€5.29m
21/22,SC Freiburg,25.5,€176.35m,€5.51m
21/22,VfB Stuttgart,24.0,€174.23m,€4.47m
21/22,Hertha BSC,25.2,€155.78m,€3.46m
21/22,1.FSV Mainz 05,25.5,€131.03m,€3.85m
21/22,1.FC Union Berlin,27.1,€115.90m,€2.90m
21/22,1.FC Köln,25.8,€99.28m,€3.20m
21/22,FC Augsburg,26.0,€95.30m,€2.98m
21/22,Arminia Bielefeld,25.1,€65.85m,€1.94m
21/22,VfL Bochum,27.7,€52.25m,€1.58m
21/22,SpVgg Greuther Fürth,25.1,€36.95m,€1.09m
19/20,Bayern Munich,24.2,€777.33m,€20.46m
19/20,Borussia Dortmund,25.0,€654.05m,€17.68m
19/20,RB Leipzig,23.4,€570.48m,€15.01m
19/20,Bayer 04 Leverkusen,25.7,€398.95m,€13.76m
19/20,Borussia Mönchengladbach,26.3,€254.70m,€7.49m
19/20,TSG 1899 Hoffenheim,26.8,€226.05m,€6.11m
19/20,FC Schalke 04,24.6,€221.58m,€6.71m
19/20,Hertha BSC,24.7,€217.20m,€5.17m
19/20,Eintracht Frankfurt,27.0,€208.98m,€5.97m
19/20,VfL Wolfsburg,25.2,€207.60m,€5.46m
19/20,SV Werder Bremen,26.6,€135.13m,€3.75m
19/20,SC Freiburg,26.3,€122.65m,€4.09m
19/20,1.FSV Mainz 05,24.4,€121.58m,€3.47m
19/20,FC Augsburg,26.0,€112.95m,€3.05m
19/20,1.FC Köln,25.7,€98.48m,€2.81m
19/20,Fortuna Düsseldorf,26.7,€71.78m,€1.94m
19/20,1.FC Union Berlin,26.7,€41.20m,€1.21m
19/20,SC Paderborn 07,25.9,€28.90m,€903k
17/18,Bayern Munich,25.2,€811.85m,€21.36m
17/18,Borussia Dortmund,25.5,€574.20m,€16.41m
17/18,RB Leipzig,24.5,€373.30m,€13.33m
17/18,Bayer 04 Leverkusen,25.7,€357.35m,€13.24m
17/18,FC Schalke 04,26.1,€274.35m,€9.46m
17/18,TSG 1899 Hoffenheim,24.6,€212.75m,€5.91m
17/18,Borussia Mönchengladbach,25.1,€193.25m,€5.52m
17/18,VfL Wolfsburg,24.8,€143.60m,€4.35m
17/18,VfB Stuttgart,25.2,€134.70m,€3.96m
17/18,Hertha BSC,25.4,€131.45m,€4.11m
17/18,Eintracht Frankfurt,25.5,€126.15m,€3.50m
17/18,SV Werder Bremen,26.0,€107.15m,€3.25m
17/18,SC Freiburg,26.0,€100.60m,€2.79m
