season,club,foreigners,squad_total_val,player_mean_value
04/05,Real Madrid,25.9,€303.70m,€8.93m
04/05,FC Barcelona,24.9,€273.03m,€7.80m
04/05,Valencia CF,26.8,€195.90m,€6.12m
04/05,Deportivo de La Coruña,28.0,€144.45m,€4.98m
04/05,Atlético de Madrid,26.1,€125.65m,€3.31m
04/05,Real Betis Balompié,26.6,€85.15m,€2.66m
04/05,Sevilla FC,26.0,€70.55m,€2.28m
04/05,Villarreal CF,24.9,€66.25m,€1.74m
04/05,Real Sociedad,25.6,€53.55m,€1.67m
04/05,Athletic Bilbao,25.8,€53.05m,€1.66m
04/05,Real Zaragoza,26.3,€51.13m,€1.83m
04/05,RCD Espanyol Barcelona,26.1,€45.15m,€1.56m
04/05,RCD Mallorca,26.8,€42.65m,€1.33m
04/05,Racing Santander,25.0,€32.90m,€968k
04/05,Málaga CF,26.2,€32.85m,€1.06m
04/05,CA Osasuna,26.1,€26.70m,€989k
04/05,Levante UD,29.5,€24.25m,€898k
04/05,Albacete Balompié,25.9,€17.75m,€467k
04/05,Getafe CF,27.8,€13.85m,€478k
04/05,CD Numancia,27.5,€13.40m,€447k
24/25,Real Madrid,24.4,€1.35bn,€32.11m
24/25,FC Barcelona,23.3,€1.08bn,€27.76m
24/25,Atlético de Madrid,26.5,€542.50m,€13.23m
24/25,Athletic Bilbao,26.1,€375.35m,€10.14m
24/25,Real Sociedad,24.6,€345.05m,€8.85m
24/25,Real Betis Balompié,26.0,€291.70m,€6.34m
24/25,Villarreal CF,26.2,€264.25m,€7.34m
24/25,Valencia CF,24.5,€215.55m,€4.90m
24/25,Sevilla FC,25.2,€183.90m,€4.18m
24/25,Girona FC,25.1,€153.10m,€3.33m
24/25,Celta de Vigo,26.3,€130.90m,€3.64m
24/25,UD Las Palmas,25.4,€117.30m,€2.79m
24/25,RCD Espanyol Barcelona,25.6,€116.98m,€3.16m
24/25,CA Osasuna,26.7,€113.28m,€3.33m
24/25,Deportivo Alavés,25.8,€92.35m,€2.50m
24/25,Getafe CF,25.4,€87.70m,€2.37m
24/25,RCD Mallorca,27.6,€84.88m,€2.74m
24/25,Real Valladolid CF,25.4,€81.45m,€1.89m
24/25,Rayo Vallecano,28.3,€68.00m,€2.00m
24/25,CD Leganés,26.1,€47.98m,€1.20m
19/20,FC Barcelona,24.7,€930.28m,€22.15m
19/20,Real Madrid,26.2,€913.75m,€27.69m
19/20,Atlético de Madrid,25.3,€720.15m,€21.82m
19/20,Valencia CF,25.9,€427.80m,€12.96m
19/20,Real Sociedad,25.0,€347.55m,€9.65m
19/20,Sevilla FC,26.2,€294.75m,€8.42m
19/20,Real Betis Balompié,25.5,€244.35m,€6.43m
19/20,Athletic Bilbao,26.8,€211.75m,€6.62m
19/20,Villarreal CF,26.9,€208.68m,€6.32m
19/20,Getafe CF,28.5,€175.45m,€5.32m
19/20,Celta de Vigo,25.5,€167.00m,€4.77m
19/20,RCD Espanyol Barcelona,26.3,€156.05m,€3.90m
19/20,CD Leganés,25.8,€109.70m,€2.81m
19/20,Deportivo Alavés,26.6,€106.75m,€2.89m
19/20,Levante UD,27.0,€90.50m,€2.74m
19/20,Real Valladolid CF,26.0,€87.78m,€2.37m
19/20,RCD Mallorca,26.9,€64.68m,€1.85m
19/20,CA Osasuna,26.9,€62.78m,€1.70m
19/20,Granada CF,26.4,€56.58m,€1.66m
19/20,SD Eibar,28.8,€53.75m,€1.85m
23/24,Real Madrid,25.6,€1.14bn,€30.68m
23/24,FC Barcelona,24.0,€916.20m,€24.11m
23/24,Real Sociedad,25.2,€498.50m,€12.46m
23/24,Atlético de Madrid,26.9,€458.45m,€10.92m
23/24,Girona FC,25.6,€297.90m,€8.05m
23/24,Athletic Bilbao,27.0,€295.65m,€9.54m
23/24,Villarreal CF,27.2,€252.50m,€6.47m
23/24,Valencia CF,23.8,€244.73m,€6.80m
23/24,Sevilla FC,26.7,€228.75m,€4.67m
23/24,Real Betis Balompié,27.0,€224.88m,€5.35m
23/24,Celta de Vigo,25.9,€149.30m,€3.83m
23/24,Granada CF,26.4,€141.10m,€3.07m
23/24,Getafe CF,25.7,€133.00m,€3.33m
23/24,Deportivo Alavés,24.5,€123.70m,€3.02m
