season,club,foreigners,squad_total_val,player_mean_value
04/05,Olympique Lyon,24.5,€133.90m,€4.62m
04/05,AS Monaco,24.4,€103.80m,€3.15m
04/05,Paris Saint-Germain,25.5,€81.75m,€2.34m
04/05,Olympique Marseille,26.0,€79.60m,€2.57m
04/05,Stade Rennais FC,23.1,€61.30m,€1.92m
04/05,LOSC Lille,24.4,€56.25m,€1.88m
04/05,FC Girondins Bordeaux,24.8,€52.85m,€1.82m
04/05,RC Lens,24.9,€52.65m,€1.70m
04/05,FC Sochaux-Montbéliard,24.9,€49.65m,€1.55m
04/05,AJ Auxerre,24.9,€47.85m,€1.29m
04/05,FC Nantes,23.7,€47.35m,€1.21m
04/05,AS Saint-Étienne,24.6,€37.50m,€1.29m
04/05,FC Toulouse,24.1,€37.10m,€1.20m
04/05,FC Metz,23.6,€35.70m,€1.08m
04/05,RC Strasbourg Alsace,24.4,€35.10m,€1.06m
04/05,OGC Nice,26.5,€34.45m,€1.08m
04/05,SC Bastia,24.9,€31.85m,€937k
04/05,AC Ajaccio,27.0,€24.55m,€847k
04/05,SM Caen,25.1,€22.70m,€688k
04/05,FC Istres Ouest Provence ,26.6,€18.50m,€544k
23/24,Paris Saint-Germain,24.9,€1.02bn,€28.36m
23/24,AS Monaco,24.0,€398.55m,€9.96m
23/24,Stade Rennais FC,24.8,€375.35m,€10.43m
23/24,LOSC Lille,23.8,€328.90m,€8.02m
23/24,Olympique Marseille,24.4,€311.40m,€6.36m
23/24,Olympique Lyon,25.5,€305.95m,€7.84m
23/24,OGC Nice,24.5,€268.78m,€7.07m
23/24,RC Lens,25.9,€205.60m,€5.41m
23/24,RC Strasbourg Alsace,24.0,€157.70m,€4.04m
23/24,Montpellier HSC,24.8,€145.58m,€3.93m
23/24,FC Toulouse,23.3,€145.20m,€3.72m
23/24,Stade Reims,23.9,€134.55m,€3.45m
23/24,FC Lorient,24.7,€131.85m,€2.93m
23/24,FC Nantes,25.2,€125.90m,€2.93m
23/24,Stade Brestois 29,25.9,€115.15m,€3.71m
23/24,Le Havre AC,25.2,€72.50m,€2.07m
23/24,FC Metz,25.5,€65.40m,€1.77m
23/24,Clermont Foot 63,25.2,€61.35m,€1.70m
21/22,Paris Saint-Germain,26.2,€875.15m,€21.35m
21/22,Olympique Lyon,24.9,€397.70m,€9.94m
21/22,AS Monaco,23.7,€396.00m,€9.66m
21/22,LOSC Lille,24.6,€306.88m,€7.48m
21/22,Stade Rennais FC,23.3,€305.35m,€8.48m
21/22,Olympique Marseille,24.0,€284.70m,€7.49m
21/22,OGC Nice,24.3,€266.05m,€7.83m
21/22,RC Lens,25.3,€154.05m,€4.40m
21/22,Stade Reims,24.0,€149.40m,€3.74m
21/22,Montpellier HSC,25.3,€144.60m,€4.02m
21/22,RC Strasbourg Alsace,25.4,€120.05m,€3.64m
21/22,FC Girondins Bordeaux,24.5,€116.85m,€2.16m
21/22,FC Nantes,26.1,€112.65m,€3.63m
21/22,AS Saint-Étienne,24.4,€105.65m,€2.40m
21/22,Stade Brestois 29,26.0,€103.15m,€3.44m
21/22,FC Metz,25.6,€91.05m,€2.22m
21/22,Angers SCO,25.8,€89.50m,€2.36m
21/22,ESTAC Troyes,25.1,€73.20m,€1.46m
21/22,FC Lorient,25.8,€61.30m,€1.75m
21/22,Clermont Foot 63,25.5,€55.10m,€1.41m
17/18,Paris Saint-Germain,25.5,€900.10m,€25.72m
17/18,AS Monaco,24.0,€529.80m,€13.94m
17/18,Olympique Lyon,23.6,€363.80m,€10.70m
17/18,Olympique Marseille,27.3,€236.80m,€8.17m
17/18,OGC Nice,24.1,€204.10m,€5.23m
17/18,FC Girondins Bordeaux,24.6,€155.45m,€4.20m
17/18,Stade Rennais FC,24.8,€131.25m,€3.75m
17/18,FC Toulouse,25.0,€110.45m,€3.94m
17/18,AS Saint-Étienne,25.4,€106.88m,€2.67m
17/18,FC Nantes,25.2,€105.70m,€2.94m
17/18,LOSC Lille,22.5,€96.75m,€3.02m
17/18,Montpellier HSC,25.8,€71.85m,€2.40m
17/18,Dijon FCO,26.1,€70.30m,€2.01m
17/18,Amiens SC,27.8,€69.85m,€2.05m
17/18,Angers SCO,26.6,€69.55m,€2.11m
