season,club,foreigners,squad_total_val,player_mean_value
04/05,Chelsea FC,24.9,€331.48m,€10.69m
04/05,Manchester United,24.7,€293.23m,€7.93m
04/05,Arsenal FC,23.9,€247.00m,€6.68m
04/05,Liverpool FC,25.3,€222.13m,€5.85m
04/05,Tottenham Hotspur,25.3,€129.45m,€3.41m
04/05,Newcastle United,26.1,€125.90m,€4.06m
04/05,Birmingham City,26.8,€106.93m,€2.81m
04/05,Middlesbrough FC,26.0,€95.48m,€2.81m
04/05,Manchester City,26.7,€94.30m,€2.77m
04/05,Southampton FC,26.5,€85.48m,€2.08m
04/05,Aston Villa,25.2,€84.18m,€3.24m
04/05,Everton FC,27.5,€74.28m,€2.86m
04/05,Blackburn Rovers,28.0,€73.70m,€2.23m
04/05,Fulham FC,26.4,€65.23m,€1.92m
04/05,Portsmouth FC,26.6,€64.00m,€1.73m
04/05,Bolton Wanderers,28.5,€63.58m,€2.19m
04/05,Charlton Athletic,27.1,€57.80m,€2.22m
04/05,West Bromwich Albion,27.6,€50.40m,€1.58m
04/05,Crystal Palace,25.4,€38.53m,€1.10m
04/05,Norwich City,27.2,€31.05m,€1.11m
23/24,Manchester City,25.7,€1.46bn,€40.63m
23/24,Arsenal FC,24.6,€1.20bn,€30.08m
23/24,Chelsea FC,22.2,€1.01bn,€18.10m
23/24,Liverpool FC,24.2,€955.65m,€21.24m
23/24,Tottenham Hotspur,25.6,€838.50m,€20.45m
23/24,Manchester United,24.9,€808.35m,€17.57m
23/24,Aston Villa,25.0,€709.65m,€15.77m
23/24,Newcastle United,26.3,€652.25m,€14.49m
23/24,Brighton & Hove Albion,24.2,€524.40m,€10.70m
23/24,Nottingham Forest,26.6,€501.35m,€10.90m
23/24,West Ham United,26.6,€487.50m,€13.54m
23/24,Crystal Palace,25.1,€446.58m,€11.16m
23/24,Wolverhampton Wanderers,23.9,€442.73m,€9.42m
23/24,Brentford FC,25.0,€428.78m,€10.21m
23/24,AFC Bournemouth,25.7,€401.75m,€9.57m
23/24,Everton FC,26.8,€391.75m,€11.52m
23/24,Fulham FC,26.9,€384.35m,€10.98m
23/24,Burnley FC,25.3,€273.48m,€7.01m
23/24,Sheffield United,24.7,€152.35m,€3.39m
23/24,Luton Town,25.7,€140.90m,€3.06m
19/20,Manchester City,25.4,€1.05bn,€29.96m
19/20,Liverpool FC,23.8,€1.00bn,€17.90m
19/20,Tottenham Hotspur,25.3,€806.80m,€22.41m
19/20,Chelsea FC,24.7,€705.85m,€19.61m
19/20,Manchester United,24.4,€670.45m,€15.59m
19/20,Arsenal FC,24.8,€607.65m,€15.99m
19/20,Everton FC,26.5,€420.55m,€12.02m
19/20,Leicester City,26.4,€411.10m,€12.85m
19/20,Wolverhampton Wanderers,23.6,€320.33m,€7.28m
19/20,West Ham United,27.0,€303.60m,€7.99m
19/20,AFC Bournemouth,25.4,€272.18m,€6.98m
19/20,Newcastle United,26.6,€252.48m,€6.16m
19/20,Aston Villa,26.2,€231.70m,€6.10m
19/20,Southampton FC,25.0,€210.75m,€5.85m
19/20,Brighton & Hove Albion,25.3,€200.78m,€4.46m
19/20,Watford FC,26.2,€199.60m,€4.64m
19/20,Crystal Palace,27.4,€189.33m,€5.74m
19/20,Burnley FC,26.8,€163.88m,€4.68m
