season,club,foreigners,squad_total_val,player_mean_value
04/05,Juventus FC,26.2,€304.90m,€7.82m
04/05,AC Milan,27.2,€273.70m,€7.40m
04/05,Inter Milan,24.9,€240.63m,€4.81m
04/05,AS Roma,23.6,€201.60m,€5.04m
04/05,ACF Fiorentina,25.6,€111.83m,€2.38m
04/05,Parma FC,23.8,€110.05m,€2.50m
04/05,Udinese Calcio,25.6,€83.95m,€2.47m
04/05,US Palermo,25.5,€78.75m,€2.72m
04/05,SS Lazio,26.3,€77.05m,€1.71m
04/05,AC Siena,27.6,€54.90m,€1.37m
04/05,UC Sampdoria,25.8,€51.00m,€1.38m
04/05,Chievo Verona,25.7,€46.28m,€1.10m
04/05,Brescia Calcio,25.1,€45.25m,€1.41m
04/05,US Lecce,23.8,€44.90m,€1.36m
04/05,Atalanta BC,25.4,€41.70m,€1.04m
04/05,FC Messina Peloro,25.1,€32.65m,€726k
04/05,Bologna FC 1909,26.3,€29.94m,€748k
04/05,Reggina Calcio,24.4,€29.30m,€837k
04/05,AS Livorno,26.7,€25.00m,€676k
04/05,Cagliari Calcio,26.7,€23.90m,€771k
23/24,Inter Milan,27.1,€654.85m,€18.71m
23/24,AC Milan,24.6,€571.41m,€13.61m
23/24,SSC Napoli,26.5,€515.00m,€14.71m
23/24,Juventus FC,25.2,€504.53m,€12.94m
23/24,Atalanta BC,25.2,€436.05m,€10.38m
23/24,Bologna FC 1909,25.1,€349.30m,€9.44m
23/24,AS Roma,25.2,€340.40m,€8.30m
23/24,ACF Fiorentina,25.7,€284.10m,€6.93m
23/24,Torino FC,24.3,€232.73m,€5.17m
23/24,SS Lazio,26.4,€225.45m,€6.09m
23/24,Genoa CFC,25.9,€195.40m,€4.44m
23/24,Udinese Calcio,24.7,€170.06m,€3.78m
23/24,AC Monza,26.6,€143.43m,€3.68m
23/24,Hellas Verona,25.1,€140.70m,€2.81m
23/24,US Sassuolo,25.5,€139.54m,€3.67m
23/24,Frosinone Calcio,24.9,€108.40m,€2.26m
23/24,US Lecce,24.6,€107.73m,€2.76m
23/24,FC Empoli,25.3,€102.33m,€2.18m
23/24,US Salernitana 1919,25.6,€94.60m,€1.89m
23/24,Cagliari Calcio,27.0,€92.23m,€2.43m
25/26,Inter Milan,28.7,€693.80m,€27.75m
25/26,Juventus FC,26.8,€602.70m,€23.18m
25/26,SSC Napoli,28.0,€503.30m,€17.98m
